"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"243","pigeon pea tur","Nandgaon",2015,22.63251935676,1520
"244","pigeon pea tur","Kinwat",2015,19.9736147757256,1514
"245","pigeon pea tur","Jalkot",2015,19.5607235142119,1514
"246","wheathusked","Khalapur(Shil-Phata)",2016,67.8181818181818,1513
"247","pigeon pea tur","Himayatnagar",2015,18.875,1510
"248","pigeon pea tur","Varud-Rajura Bazar",2015,32.6739130434783,1503
"249","sesamum","Malegaon",2016,25.8793103448276,1501
"250","sorgumjawar","Mumbai",2015,88.2352941176471,1500
"251","pigeon pea tur","Indapur",2015,75,1500
"252","pigeon pea tur","Varud-Rajura Bazar",2014,42.4568355505236,1500
"253","sesamum","Akola",2016,30,1500
"254","pigeon pea tur","Dhamangaon-Rly",2015,25,1500
"255","pigeon pea tur","Mohol",2016,25,1500
"256","pigeon pea tur","Taloda",2016,23.0769230769231,1500
"257","sesamum","Yawal",2016,23.0769230769231,1500
"258","pigeon pea tur","Sindkhed Raja",2016,21.4285714285714,1500
"259","pigeon pea tur","Kannad",2015,20.6896551724138,1500
"260","pigeon pea tur","Kada",2015,20,1500
"261","sesamum","Aheri",2015,19.3548387096774,1500
"262","grnut kernels","Mumbai",2015,18.75,1500
"263","sesamum","Ausa",2015,16.6537051438729,1499
"264","pigeon pea tur","Dudhani",2016,20.4613841524574,1492
"265","pigeon pea tur","Washim",2016,20.4598650695305,1486
"266","pigeon pea tur","Malegaon (Washim)",2015,18.3762277757056,1478
"267","sunflower","Barshi",2015,33.5227272727273,1475
"268","wheathusked","Sangali",2015,91.2826899128269,1466
"269","pigeon pea tur","Karmala",2015,19.2540057788285,1466
"270","wheathusked","Kolhapur-Laxmipuri",2016,80.2523313219967,1463
"271","wheathusked","Latur",2016,94.0337224383917,1450
"272","sorgumjawar","Mumbai",2014,93.5483870967742,1450
"273","sorgumjawar","Indapur-Bhigwan",2015,89.1758917589176,1450
"274","pigeon pea tur","Murum",2015,14.9366044737656,1449
"275","pigeon pea tur","Ahmednagar",2015,24.4444444444444,1447
"276","sorgumjawar","Lasur Station",2016,109.635811836115,1445
"277","wheathusked","Ambad(Vadi Godri)",2015,95.1283739302173,1445
"278","pigeon pea tur","Ausa",2015,17.2772988505747,1443
"279","cotton","Kille Dharur",2014,36.368234699039,1438
"280","sesamum","Khamgaon",2014,14.7824297911737,1437
"281","pigeon pea tur","Shahada",2016,20.7604452797456,1436
"282","pigeon pea tur","Buldhana",2016,33.0948534502654,1434
"283","spilt gerrn gram","Kolhapur-Laxmipuri",2015,15.0842105263158,1433
"284","wheathusked","Mumbai",2014,79.5555555555556,1432
"285","wheathusked","Latur-Murud",2016,91.5167095115681,1424
"286","sorgumjawar","Barshi",2014,113.902847571189,1423
"287","pigeon pea tur","Jalgaon Jamod",2015,29.5833333333333,1420
"288","pigeon pea tur","Hingoli",2015,22.6837060702875,1420
"289","pigeon pea tur","Anajngaon Surji",2015,20.8579599618684,1420
"290","maize","Jalgaon",2016,96.2033898305085,1419
"291","sorgumjawar","Jamkhed",2014,77.8693025809995,1418
"292","pigeon pea tur","Katol",2015,21.5155203895313,1414
